# method=RADIAL_SYMMETRY
# roi=[31, 23, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
142,0.292662216,48.984278,55.661712,0.148180,0.707107,0,,-0.092143124,0.010214682,-0.0061300978,0.00067956234
143,0.294723218,49.120058,55.668819,0.169682,0.500000,0,,0.043636876,0.017321682,0.0029030741,0.0011523768
144,0.296784219,49.117179,55.770990,0.150294,0.500000,0,,0.040757876,0.11949268,0.0027115399,0.0079496091
145,0.298845221,48.943659,55.751449,0.151419,0.500000,0,,-0.13276212,0.099951682,-0.0088323986,0.0066495855
146,0.300906222,49.082593,55.896514,0.146185,1.000000,0,,0.0061718756,0.24501668,0.00041060254,0.01630047
147,0.302967224,49.092956,55.610725,0.143173,0.000000,0,,0.016534876,-0.040772318,0.0011000322,-0.0027125008
148,0.305028225,48.958420,55.549332,0.166493,0.500000,0,,-0.11800112,-0.10216532,-0.0078503788,-0.0067968543
149,0.307089227,48.934494,55.603665,0.133167,0.500000,0,,-0.14192712,-0.047832318,-0.0094421277,-0.0031821885
150,0.309150228,48.755964,55.595357,0.148425,1.118034,0,,-0.32045712,-0.056140318,-0.021319372,-0.0037349031
151,0.311211230,48.722219,55.822088,0.135701,0.500000,0,,-0.35420212,0.17059068,-0.023564359,0.011349057
152,0.313272232,48.781827,55.929430,0.149215,1.000000,0,,-0.29459412,0.27793268,-0.019598758,0.018490305
153,0.315333233,48.681463,55.798622,0.164114,1.000000,0,,-0.39495812,0.14712468,-0.026275774,0.0097879108
154,0.317394235,48.758442,55.901235,0.135693,0.500000,0,,-0.31797912,0.24973768,-0.021154515,0.016614548
155,0.319455236,49.028727,55.741617,0.142761,0.707107,0,,-0.047694124,0.090119682,-0.0031729947,0.0059954822
156,0.321516238,48.836265,55.529225,0.142930,1.000000,0,,-0.24015612,-0.12227232,-0.015977107,-0.0081345328
157,0.323577239,49.279538,55.795204,0.151659,0.707107,0,,0.20311688,0.14370668,0.01351296,0.0095605181
158,0.325638241,49.516491,55.862514,0.160333,0.500000,0,,0.44006988,0.21101668,0.029276969,0.014038518
159,0.327699242,49.313199,56.088244,0.153725,1.118034,0,,0.23677788,0.43674668,0.015752359,0.029055883
160,0.329760244,48.928621,55.790315,0.136780,0.500000,0,,-0.14780012,0.13881768,-0.0098328467,0.0092352627
161,0.331821245,49.189877,55.803226,0.166280,0.500000,0,,0.11345588,0.15172868,0.0075479925,0.010094206
162,0.333882247,49.031205,55.974840,0.141309,0.000000,0,,-0.045216124,0.32334268,-0.0030081383,0.021511342
163,0.335943248,48.904572,56.176375,0.144106,0.500000,0,,-0.17184912,0.52487768,-0.011432779,0.034919062
164,0.338004250,49.448641,55.764522,0.157193,1.000000,0,,0.37221988,0.11302468,0.024763044,0.007519306
165,0.340065251,49.203848,55.795785,0.156969,0.500000,0,,0.12742688,0.14428768,0.0084774552,0.0095991709
166,0.342126253,49.094217,55.365875,0.164367,0.500000,0,,0.017795876,-0.28562232,0.001183924,-0.019001882
167,0.344187254,49.101343,55.275384,0.152520,1.118034,0,,0.024921876,-0.37611332,0.0016580025,-0.025022067
168,0.346248256,48.781641,55.599346,0.149688,1.000000,0,,-0.29478012,-0.052151318,-0.019611132,-0.0034695229
169,0.348309257,48.849164,55.411487,0.162095,0.500000,0,,-0.22725712,-0.24001032,-0.015118962,-0.015967406
170,0.350370259,48.923658,55.335710,0.167041,0.000000,0,,-0.15276312,-0.31578732,-0.010163025,-0.021008699
171,0.352431260,49.189777,55.588361,0.148095,0.500000,0,,0.11335588,-0.063136318,0.0075413397,-0.004200333
172,0.354492262,49.192458,55.531995,0.151199,0.707107,0,,0.11603688,-0.11950232,0.0077197013,-0.0079502502
173,0.356553263,49.116482,55.798538,0.196266,1.118034,0,,0.040060876,0.14704068,0.0026651699,0.0097823225
174,0.358614265,49.250508,55.733367,0.146576,0.707107,0,,0.17408688,0.081869682,0.011581652,0.0054466262
175,0.360675267,49.094820,55.494190,0.151123,1.000000,0,,0.018398876,-0.15730732,0.0012240404,-0.010465341
176,0.362736268,48.952944,55.561344,0.148235,1.000000,0,,-0.12347712,-0.090153318,-0.0082146861,-0.00599772
177,0.364797270,48.939289,55.860384,0.134099,0.500000,0,,-0.13713212,0.20888668,-0.009123126,0.013896813
178,0.366858271,48.700345,55.684206,0.150041,0.707107,0,,-0.37607612,0.032708682,-0.025019592,0.0021760432
179,0.368919273,48.735429,55.781646,0.164600,1.118034,0,,-0.34099212,0.13014868,-0.022685524,0.0086585315
180,0.370980274,49.224536,56.157317,0.157671,0.707107,0,,0.14811488,0.50581968,0.0098537864,0.033651172
181,0.373041276,48.761443,55.479462,0.162758,1.000000,0,,-0.31497812,-0.17203532,-0.020954865,-0.011445166
182,0.375102277,49.138149,55.790444,0.162401,0.500000,0,,0.061727876,0.13894668,0.0041066321,0.0092438448
183,0.377163279,49.072913,55.815832,0.154759,1.000000,0,,-0.0035081244,0.16433468,-0.0002333885,0.010932858
184,0.379224280,48.837111,55.575229,0.133238,1.500000,0,,-0.23931012,-0.076268318,-0.015920824,-0.0050739787
185,0.381285282,49.083119,55.508263,0.153864,1.118034,0,,0.0066978756,-0.14323432,0.00044559627,-0.0095290927
186,0.383346283,48.995578,55.368958,0.168079,0.500000,0,,-0.080843124,-0.28253932,-0.0053783314,-0.018796776
187,0.385407285,49.150214,55.573685,0.158640,1.118034,0,,0.073792876,-0.077812318,0.0049092924,-0.0051766979
188,0.387468286,48.834046,55.496666,0.141042,0.000000,0,,-0.24237512,-0.15483132,-0.016124732,-0.010300618
189,0.389529288,48.867521,55.435742,0.139187,0.500000,0,,-0.20890012,-0.21575532,-0.013897707,-0.01435377
190,0.391590289,48.821162,55.509019,0.161529,0.500000,0,,-0.25525912,-0.14247832,-0.016981879,-0.0094787976
191,0.393651291,49.184307,55.556196,0.139360,0.000000,0,,0.10788588,-0.095301318,0.0071774315,-0.0063402061
192,0.395712292,49.025837,55.896075,0.145076,0.500000,0,,-0.050584124,0.24457768,-0.0033652606,0.016271264
193,0.397773294,49.117908,55.742478,0.167599,0.500000,0,,0.041486876,0.090980682,0.0027600389,0.0060527628
194,0.399834295,49.342859,55.887589,0.143863,0.707107,0,,0.26643788,0.23609168,0.017725579,0.015706707
195,0.401895297,49.303736,55.517025,0.135383,1.118034,0,,0.22731488,-0.13447232,0.015122804,-0.0089461744
196,0.403956299,48.940665,55.235494,0.165086,0.500000,0,,-0.13575612,-0.41600332,-0.0090315834,-0.027675869
197,0.406017300,48.937812,55.494627,0.154489,1.000000,0,,-0.13860912,-0.15687032,-0.0092213878,-0.010436269
198,0.408078302,48.895926,55.920275,0.138244,0.707107,0,,-0.18049512,0.26877768,-0.01200798,0.017881242
199,0.410139303,49.187586,55.725126,0.141755,0.707107,0,,0.11116488,0.073628682,0.0073955768,0.0048983689
200,0.412200305,48.678911,55.742457,0.157550,1.118034,0,,-0.39751012,0.090959682,-0.026445554,0.0060513657
